Date,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,odometer_km,registration_month
22-03-2016,5200,test,cabrio,2002,manuell,235,125000,5
18-04-2016,3400,test,kleinwagen,2006,manuell,65,125000,5
24-03-2016,5200,test,suv,2009,automatik,220,150000,3
16-04-2016,750,test,kombi,2000,manuell,112,150000,12
06-04-2016,3522,test,limousine,2004,manuell,131,150000,7
02-04-2016,550,control,limousine,1999,automatik,170,150000,6
27-03-2016,10400,control,kombi,2008,manuell,177,125000,5
18-03-2016,2499,test,kombi,2000,manuell,118,150000,1
19-03-2016,14500,test,kombi,2011,automatik,311,150000,7
24-03-2016,2100,test,limousine,1998,manuell,101,150000,1
26-04-2016,7990,control,limousine,2012,manuell,90,60000,6
29-04-2016,3800,control,kombi,2000,automatik,197,150000,2
06-03-2016,13999,control,limousine,2010,manuell,177,70000,12
09-04-2016,1350,control,cabrio,2004,manuell,95,150000,7
26-04-2016,3250,control,coupe,1999,manuell,179,150000,4
02-03-2016,6950,control,kombi,2006,automatik,177,150000,6
14-03-2016,3750,control,bus,2005,manuell,75,150000,5
02-03-2016,2100,control,kombi,1998,manuell,144,150000,10
28-03-2016,1699,test,kleinwagen,2002,manuell,75,90000,5
06-03-2016,999,test,bus,1998,manuell,145,150000,10
29-04-2016,14999,control,coupe,2012,manuell,160,90000,7
06-03-2016,2400,test,andere,1998,manuell,90,125000,7
04-04-2016,2399,control,kleinwagen,2002,manuell,64,150000,6
12-03-2016,2750,control,limousine,1999,manuell,170,5000,12
16-04-2016,3100,control,coupe,2002,manuell,75,125000,3
06-03-2016,2350,control,limousine,2002,manuell,118,150000,6
23-03-2016,1200,test,Unknown,1990,manuell,174,150000,5
30-03-2016,11600,test,kombi,2011,automatik,170,150000,3
15-03-2016,1850,test,kleinwagen,2004,manuell,75,150000,3
17-04-2016,2100,test,kombi,2007,manuell,131,150000,8
01-04-2016,750,control,kombi,2002,manuell,150,150000,11
28-04-2016,750,test,Unknown,2016,manuell,75,150000,6
15-04-2016,600,test,Unknown,2016,manuell,90,150000,7
19-03-2016,2222,test,coupe,2002,manuell,107,125000,2
07-03-2016,5500,test,kombi,2006,manuell,102,150000,4
17-03-2016,10690,test,kleinwagen,2012,manuell,99,50000,7
24-03-2016,7490,test,bus,2005,manuell,105,150000,1
28-04-2016,1000,test,limousine,1990,manuell,54,150000,2
22-03-2016,2150,test,limousine,2000,manuell,60,150000,9
24-04-2016,1990,control,limousine,2003,manuell,160,150000,5
15-03-2016,7888,test,limousine,2007,manuell,170,150000,4
01-04-2016,2700,test,kombi,2007,manuell,75,150000,4
27-03-2016,5200,control,bus,2003,manuell,136,150000,10
21-04-2016,2300,control,bus,2002,manuell,125,150000,12
04-03-2016,25000,control,coupe,2014,manuell,211,20000,4
23-03-2016,4450,control,bus,2006,manuell,105,150000,7
19-03-2016,3300,test,limousine,2009,manuell,75,100000,9
14-03-2016,6290,test,cabrio,2000,manuell,140,70000,5
16-03-2016,29499,control,coupe,2015,automatik,156,20000,8
27-03-2016,4950,test,limousine,2006,automatik,136,150000,3
10-04-2016,2800,test,kombi,2003,manuell,116,150000,10
09-04-2016,9500,test,limousine,2004,automatik,264,150000,6
24-04-2016,3499,control,bus,2001,manuell,88,150000,3
07-04-2016,1650,test,kombi,1992,manuell,83,150000,10
15-04-2016,2250,test,bus,2000,automatik,147,150000,10
02-04-2016,14500,test,kleinwagen,2011,automatik,90,60000,11
30-04-2016,2900,test,limousine,1999,automatik,125,150000,12
16-04-2016,17500,test,suv,2012,manuell,140,125000,9
25-04-2016,700,control,kombi,1999,manuell,107,150000,5
20-03-2016,3999,control,limousine,2002,manuell,105,125000,10
20-03-2016,1499,control,cabrio,2003,manuell,125,150000,7
29-04-2016,590,test,kleinwagen,1995,manuell,45,150000,6
19-03-2016,12999,test,kombi,2012,manuell,116,150000,6
06-03-2016,3800,test,bus,2005,manuell,88,150000,4
14-04-2016,1450,control,kombi,2002,manuell,125,150000,4
29-04-2016,1999,control,kleinwagen,2002,manuell,75,150000,6
15-03-2016,650,test,cabrio,1996,manuell,90,150000,6
04-04-2016,650,control,kleinwagen,1997,manuell,55,125000,8
28-04-2016,1699,test,bus,2003,manuell,98,150000,12
29-03-2016,1699,test,bus,1998,manuell,75,150000,11
15-04-2016,26500,control,cabrio,2002,automatik,306,30000,10
05-04-2016,2500,control,kleinwagen,2001,manuell,110,150000,12
13-04-2016,5450,test,kombi,2002,manuell,170,125000,6
28-04-2016,24500,control,bus,2013,manuell,114,50000,4
18-03-2016,6999,test,limousine,2006,automatik,140,150000,11
27-03-2016,7600,test,coupe,1984,manuell,184,60000,6
18-04-2016,1550,control,limousine,2005,manuell,105,90000,4
09-04-2016,8300,test,bus,2012,manuell,90,5000,2
10-04-2016,5800,test,limousine,2005,Unknown,116,90000,12
18-03-2016,8500,test,limousine,2007,manuell,179,150000,9
